                                     | Core 0     
  Instructions                       |  1012145013
  Cycles                             |   415194878
  IPC                                |        2.44
  Time (ns)                          |   156088300
  Idle time (ns)                     |       -1537
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    28093000
  num incorrect                      |       12162
  misprediction rate                 |       0.04%
  mpki                               |        0.01
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |   110260906
    num misses                       |         670
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   466335589
    num misses                       |        3978
    miss rate                        |       0.00%
    mpki                             |        0.00
  L2 TLB                             |            
    num accesses                     |        4648
    num misses                       |        4648
    miss rate                        |     100.00%
    mpki                             |        0.00
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |   110260906
    num cache misses                 |        6445
    miss rate                        |       0.01%
    mpki                             |        0.01
  Cache L1-D                         |            
    num cache accesses               |   466335589
    num cache misses                 |    27415327
    miss rate                        |       5.88%
    mpki                             |       27.09
  Cache L2                           |            
    num cache accesses               |    27435234
    num cache misses                 |      211275
    miss rate                        |       0.77%
    mpki                             |        0.21
  Cache L3                           |            
    num cache accesses               |      224750
    num cache misses                 |       51107
    miss rate                        |      22.74%
    mpki                             |        0.05
DRAM summary                         |            
  num dram accesses                  |       53704
  average dram access latency (ns)   |       57.90
  average dram queueing delay        |        4.47
  average dram bandwidth utilization |       0.00%
Coherency Traffic                    |            
  num loads from dram                |       17167
  num loads from dram cache          |           0
  num loads from remote cache        |           0
